mån-jøst månelyst
månelyst mån-jøst
månnå monne
måkkå måke
måke måkkå
nagl næggel
neate nedentil
nedentil neate
nefalljssjuk epileptisk
nergåan nærgående
never nåvvå
neve nåvvå
neve nåvvå
nifst ufyst
noe litterannj
noe nåkka
noenlunde nån
nokså gammelvole
norge nårje
nå no
nygjerrig nyfikjen
nykkjelhånk nøkkelknippe
nyfikjen nysgjerrig
nypebusk klonger
næggel nagl
næggelbit frost
næggeltrång smerte
nærgående nergåan
nøkkelknippe nykkjelhånk
nån noenlunde
nårje norge
nåvvå neve
oftest tiast
oksekalv oksballj
oksballj oksekalv
ol ord
olåt uly
om hvis
ombestemme avrå
omm hulter
ommkomme opprådd
områ tenke
onnjhukku dobbelhake
onnjle underlig
onsdag litjmuskveill
ondt vondt
onge barn
oppom ovenfor
opprådd ommkomme
oppstanasi stor
oppstannjels svært
orke hæl
otepass utilpass
otidi utålmodig
otrångsmål unødvendighet
oty utøy
ovenfor oppom
overlegen sjitvekti
oventil åvate
ovølen skjødesløs
padde hollopadd
panne pannj
pannj panne
pappa sjølin
parfyme golokt
parfyme muskus
penge pænge
penger pæng
pen sjåfager
penis slarinj
perk pirke
perr kjøttbolle
pesspått potte
pik jernspiss
pilljt smågutt
pin pine
pinse pinstihælja
pinstihælja pinse
pirke perk
plages prakkas
plate baksthyllj
plogfurer plogna
plogna plogfurer
politi bøggen
popcorn påppkåinnj
popcornet påppkåinnje
popkorn påppkåinnj
popkornet påppkåinnje
ponnji under
ponnjstakk underskjørt
pork purke
porke sover
porksøtta kusma
pose påsså
potte pesspått
pratmaker jabbkråk
prekkel prikle
prikle prekkel
promp tørrsjit
prute plut
purke pork
pusle tassel
pussig kånsti
påsså pose
påppkåinnj popkorn
påppkåinnj popcorn
påppkåinnje popkornet
påppkåinnje popcornet
pænge penge
pæng penger
pølse pørsj
rake råkkå
rang vrang
rangsnuddj egensindig
rangstelljt vrang
rannjåt stripete
rask kuvennjing
raskt fort
rauvahomp rumpeball
ravla snakket
ravle snakker
ravvel snakke
re rei
real luggum
reinhækla ekte
rei re
rekk rekke
rekke rekkj
rennj renne
rennjarakke akebakke
rennjarakka akebakker
renjsel uro
riv rive
rivd rivvi
rive riv
rivvi rivd
rockeband d.d.e
rokki rukket
romsle romslig
romslig romsle
rope yl
rosenborg fotball
rosenborg fortballlag
rotbol ustelt
ruglåt spraglete
rukket rokki
rumpeball rauvahomp
rutatkak vaffel
rutatkaka vafler
rutatkaka vafler
rutatkakan vaflene
ryt snorke
rættno snart
råkkå rake
sagflis sagtafs
sagtafs sagflis
samtidig millerti
sandbanke ør
saupskalle tåpe
saupskolljt dumming
sauehale spæl
sedda siden
seg sæ
sein seigost
seinar senere
seigost sein
sekkel sikle
selskap møsåskannj
selveid sjølægan
senge sengel
sengel klirre
senere seinar
sette jæl
sjer ser
sjit bæsj
sjit bæsjer
sjit dritt
sjøl uthus
sjølægan selveid
sjølsmett mitt
sjølvhennjt skjelve
sjeblakak lapper
sjeiså skøyter
sjelle gele
sjettsjur hore
sjett sett
sjeå se
sjinjblaut våt
sjitvekti overlegen
sjitat skitten
sjitat skittne
sjyllfølk slektninger
sjyss ligne
sjøt skyte
skade skammfårrå
skal ska
skammfårrå skade
skammvætt vett
skavvel snøfonn
skilpadde padde
skinn klårn
skitten sjitat
skittne sjitat
skive skiv
skjeløyd vinnjøgd
skjellsord hommelpong
skjelve sjølvhennjt
skjelett beingrinnj
skoffel spade
skoffel spade
skolånnj skurdonn
skomp dytte
skøyter sjeiså
skråm skramme
skrinnj tynn
skrinnjvole mager
skriv skive
skriva skriver
skriver skiva
skrokk rynke
skrømt spøkelse
skurdonn skolånnj
skyte sjøt
skåddj tåke
skålljt hode
skåp flåse
slagbol bord
slakk lealaus
slamp slaure
slapp lealaus
slarkåt slurvete
slaure slamp
slektninger sjyllfølk
sliten klar
slurvete slarkåt
slå knepp
slått synnjsli
smake småkkå
smaker småkke
smerte næggeltrång
smidig lealaus
småfisk dassmort
smågutt pilljt
smøau smørøye
smørøye smøau
snakke ravvel
snakker ravle
snakket ravla
snart rættno
snavle fråtse
snavle fråtser
snavvel snop
snavvel godteri
snill gromm
snop snavvel
snorke ryt
snø æling
snøfonn skavvel
snåpreis abort
snærke hinne
sokk lugg
sopin sulten
sotnæver hissigpropp
sove pork
sover porke
spade skoffel
spade spåddå
speket spikkje
spikkje speket
spille spæll
spire bråddj
spise maul
spise spise
spokn flyfille
spraglete ruglåt
språttn revne
spyolen kvalm
spæl sauehale
spæll spille
spøkelse skrømt
spøkelse spøkels
spøkelser spøkels
spøkels spøkelse
spøkels spøkelser
spøkefugl gakkorikaill
stankelbein langfotkallj
stankelben langfotkallj
stappmett trutmåttå
stave ståvvå
stearinlys kjerter
stearinlyset kjerte
steile stæggel
stemor stymor
stillstand dauvatn
sting hallj
stiv læmster
stolt jillj
stor oppstanasi
stroffn kveles
stripete rannjåt
strikke bett
strikker bette
stup stupe
stupe stup
stuppul heimføding
stund stynnj
styrer kævle
styrlaus ustyrlig
styggedom støggheit
stymor stemor
stynnj stund
stæggel steile
støggheit styggedom
støggkleinheit venerisk
støl gangsperr
sukkerbit tablætt
sulten matinnj
sulten sopin
sund sunj
sur surpæt
surpæt sur
svært oppstannjels
svært mykkji
svemlen svimmel
sverige sverri
sverri sverige
svettj svette
svette svettj
svimmel hautolljen
svimmel hautullin
svimmel svemlen
sængbænk benk
søndagen synnjdan
tåhætt forsterkning
taggel hår
tainnhallj tannkjøtt
taljtåt tosket
tallerken tallik
tallerken tællek
tallerkenene tællekan
tallerkener tælleka
tallik tallerken
tallordet ølløv
tamlen usikker
tannkjøtt tainnhallj
tannjgale tannrekke
tannrekke tannjgale
tape tåppå
tassel pusle
tauskjærring ugift
tausmåg frier
tausveitj tjenestepike
te til
tell bartre
tell bartre
tellan bartrærne
tellj bartre
tenke områ
tennjve opptenningsved
tett kjett
tettere kjettar
tiast oftest
til te
tine brån
tjære kjurru
tjurrulaug tjære
toastmaster kjømester
toillfakte overdreven
toillfale uvettig
tolljåt gal
tolljfauk anfall
tolljtre dumming
tolslått tordenskrall
tommelfinger tåmmåsfenger
tongføtt tung
tordenskrall tolslått
torse våge
torsa våget
tosket taljtåt
trakt trætt
tralljt småtrippe
travale vanskelig
treging hattkallj
treiging kop
tell tre
tresåt klossete
trestativ mjølkrampe
trett klar
trehennjt klossete
triplommægg egg
tru samle
trutmåttå stappmett
tryt minke
træle vanskelig
trætt trakt
trø innhegning
trøng trenge
trøsk trøske
trøske trøsk
tue gølvlørv
tull boillbaill
tung halbale
tungvindt balått
tungvint balått
ty tøy
tynn skrinnj
tynn tynnj
tynnj tynn
tællek tallerken
tælleka tallerkener
tællekan tallerkenene
tæms slepe
tørs våge
tørrfuru gaddj
tørrsjit fjert
tørrsjit fis
tørrsjit promp
tøstdrekk tørstedrikk
tøtt kvinne
tøv loe
ugift tauskjærring
ugress sjænngras
uhyggelig hustre
uke vukku
ullsok hossolæst
ullsokker hossolæsta
uly olåt
under ponnji
underlig onnjle
underskjørt ponnjstakk
unødvendighet otrångsmål
uro ir
uro kjåk
uro renjsel
ustelt rotbol
ustyrlig styrlaus
ustyrlig åggålaus
ustø dætt
ustødig dætten
utapåklea yttertøy
utavær vestavær
utfauel sjøfugl
uten utn
utilpass otepass
utmattet utmødd
utmattet uttælma
utn uten
utøy oty
utålmodig otidi
uvel maroder
uvettig toillfale
vadmelstøy vennjmøl
vaffel rutatkak
vaflene rutatkakan
vaffel rutatkak
vafler rutatkaka
vafler rutatkaka
vallak jælk
vanskelig balått
vanskelig travale
vanskelig træle
varm pånds
vaske vask
vask vaske
veggjin ved
veie våggå
veit grøft
veitj jente
veitj jente
veldig gnalljhal
veldig vaelig
veldig vældi
velte bekk
vende vennj
venerisk støggkleinheit
vennj vende
vennjmøl vadmelstøy
venstrehånd vinsterhannj
venstrehendt kjeivhennjt
veps kvaks
verdsatte vøl
verden vala
verre vær
verdt vart
vestavær utavær
veterinær
vett skammvætt
vett vætt
veve våvvå
viar videre
videre viar
vil vilj
villjspik vilter
vilter villjspik
vilter yven
vindstille dauvær
vindtrekk synnjadrag
vindusrute glasrut
vinnjle lettvint
vinnjøgd skjeløyd
vinsterhannj venstrehånd
vond vonn
vondt ondt
vott blavått
vrang bakmeis
vrang rang
vrang rangstelljt
vukku uke
væla væla
vældi veldig
vær verre
værkmora kjernen
vætt vett
våggå veie
vågna risiko
våge tørs
våge torse
våget torsa
våvvå veve
vøl verdsette
yppe karravolin
yttertøy utapåklea
yven vilter
æ æ
ælke ælke
ælnakke almanakk
ælske elske
æslk elske
æslska elsket
ængelsk
ørepinne sållåpinnje
ørefik dravelanjt
ørefik lusing
ørefik ørtæv
ørefiker ørtæva
ørt drøvtygge
ør sandbanke
ørsnellj øyenstikker
ørtæv ørefik
ørtæva ørefiker
øyenstikker ørsnellj
å å
ustyrlig åggålaus
beskjedden åkkår
altetende ålett
atferd åtfal
oventil åvate
også å
åventil oventil
oversette åversætt
oversetter åversætt 
hete heite
heter heite
hette heita
denne denjher
måneden månan
feirer feire
tiden tia
kan kanj
blandede blanda
følelser følelsa
vonde onde
minner minna
andre anjer 
ønsket ønske
de dæm
tillegg tillægg
skulle skullja
ønske ønsk
måneden månen
være vær
tiden tia
senke sænk
skuldrene skuldran
selv sjøl
eksistere æksister
tingene tingan
rett rætt
slett slætt
feire feir
fremskrittene fremskittan
skyter skyt
selv sjøl
foten fotn
app æpp
apper æppa
appen æppen
slik sånn
lengre lenger
man mannj
forbedringspotensialer forbedringspotensiala
melder melde
sterkt stærkt
sterk stærk
sterkere stærkar
sterkest stærkast 
vurderer vurdere
vurderte vurdert
pressetreff præssetræff 
mener meine
hindre hinnjer
truet trua
besøke besøk 
skoler skola
universiteter universiteta
hele heile
mer meir
annenhver anjakvar
forteller fortelle
fortellalte fortelte
sitere siter
dager daga
julen jula
utvide utvid
samtaler samatala
stiller stillje
sitter sett
sitte setta
venter vente
sier sei
nesten næsten
noensinne nånsinn
høyere høgar
melder melde
døde dødd
død dødd
ble vart
funnet fonnji
